date | value
2009-01-02 | 3
2011-01-04 | 2
2011-01-04 | 4
2011-01-05 | 123
2011-01-06 | 1.2
2012-02-29 | 0
2013-02-29 | 5
1900-02-29 | 10
2000-02-29 | -1
0001-01-01 | 999999999999
9999-12-31 | -999999999999
2024-12-31 | 1e308
2024-12-31 | -1e308
2024-12-31 | 1e-308
1970-01-01 | 0.0000000000000000000000001
2038-01-19 | 2147483647
1969-12-31 | -2147483648
2011-01-07 | NaN
2011-01-08 | Infinity
2011-01-09 | -Infinity
2011-01-10 | 
2011-01-11 | null
2011-01-12 | NULL
2011-01-13 |    
2011-01-14 | -0
2011-01-15 | 0000123
2011-01-16 | 3.1415926535897932384626433832795028841971
2011-13-01 | 5
2011-00-10 | 7
2011-04-31 | 8
20-01-01 | 9
20110101 | 10
2011/01/17 | 11
2011-01-18T00:00:00Z | 12
2011-01-19 00:00:00 | 13
 2011-01-20 | 14
2011-01-21  | 15
| 16
2011-01-22 |
not-a-date | 17
2011-01-23 | not-a-number
2011-01-24 | 1,234
2011-01-25 | १२३
2011-01-26 | Ⅻ
2011-01-27 | true
2011-01-28 | false
2011-01-29 | []
2011-01-30 | {}
2011-01-31 | "123"
2011-02-01 | '456'
2011-02-02 | 3.4.5
2011-02-03 | ++1
2011-02-04 | --2
2011-02-05 | +Infinity
2011-02-06 | -NaN
2011-02-07 | 1e9999
2011-02-08 | -1e9999
2011-02-09 | 5 | extra-column
2011-02-10 5
2011-02-11 - 6
1999-12-31 | 1
2000-01-01 | 2
2000-02-29 | 3
2001-02-28 | 4
2004-02-29 | 5
2008-02-29 | 6
2012-02-29 | 7
2016-02-29 | 8
2020-02-29 | 9
2024-02-29 | 10
1970-01-01 | 0
1980-06-15 | 123
1985-10-26 | 88.8
1990-07-04 | -5
1995-03-15 | 9999
2001-09-09 | 0.001
2005-05-05 | 5000000
2010-10-10 | -123.456
2011-01-01 | 42
2011-01-02 | 3.14
2011-01-03 | -0.0001
2011-01-04 | 1000000000
2011-01-04 | 0.00000000000000000000000000000000000000000000000001
2011-01-05 | 1e3
2011-01-06 | 2.5e2
2011-01-07 | -3.5e1
2011-01-08 | 0.0000001
2011-01-09 | 999999999999
2011-01-10 | -999999999999
2015-12-31 | 12.000
2018-04-30 | 077
2019-08-20 | 123456789
2021-11-11 | 11.11
2022-02-22 | 2222
2023-03-03 | 333.333
2024-12-31 | 1.7976931348623157e308
2025-01-01 | 5e-324
2030-06-30 | 250
2040-09-09 | -250
2050-12-12 | 600.6
2100-01-01 | 100
2400-02-29 | 400
9999-12-31 | 1
0001-01-01 | 1
