date | value
2009-01-02 | 3
2011-01-04 | 2
2011-01-04 | 4
2011-01-05 | 123
2011-01-06 | 1.2
2012-02-29 | 0
2013-02-29 | 5
1900-02-29 | 10
2000-02-29 | 1
2009-01-02 | 3
2011-01-04 | 2
2011-01-04 | 4
2011-01-05 | 123
2011-01-06 | 1.2
2012-02-29 | 0
2013-02-29 | 5
1900-02-29 | 10
2000-02-29 | 9
2011-01-04 | 2
2011-01-04 | 4
2011-01-05 | 123
2011-01-06 | 1.2
2012-02-29 | 0
2013-02-29 | 5
1900-02-29 | 10
2000-02-29 | 12
2011-01-04 | 2
2011-01-04 | 4
2011-01-05 | 123
2011-01-06 | 1.2
2012-02-29 | 0
2013-02-29 | 5
1900-02-29 | 10
2000-02-29 | 3
2011-01-04 | 2
2011-01-04 | 4
2011-01-05 | 123
2011-01-06 | 1.2
2012-02-29 | 0
2013-02-29 | 5
1900-02-29 | 10
2000-02-29 | 1
